role,name,poli,State,twitterName,name,userNumber,followers,,,Important Comments,,
representative,Rep. Val Demings,D,FL-10,@RepValDemings,RepValDemings,7.98973E+17,9510,,,,,
representative,Rep. Daniel Webster,R,FL-11,@RepWebster,RepWebster,281540744,22684,,,,,
representative,Rep. Gus Bilirakis,R,FL-12,@RepGusBilirakis,RepGusBilirakis,26051676,27281,,,,,
representative,Rep. Charlie Christ,D,FL-13,@repcharliecrist,RepCharlieCrist,8.1603E+17,8189,,,,,
representative,Rep. Kathy Castor,D,FL-14,@USRepKCastor,USRepKCastor,1880674038,14280,,,,,
representative,Rep. Dennis Ross,R,FL-15,@RepDennisRoss,RepDennisRoss,33655490,19562,,,,,
representative,Rep. Vern Buchanan,R,FL-16,@VernBuchanan,VernBuchanan,20467163,26798,,,,,
representative,Rep. Thomas Rooney,R,FL-17,@TomRooney,TomRooney,23970171,22473,,,,,
representative,Rep. Brian Mast,R,FL-18,@repbrianmast,RepBrianMast,8.14104E+17,10342,,,,,
representative,Rep. Francis Rooney,R,FL-19,@RepRooney,RepRooney,8.16112E+17,4976,,,,,
representative,Rep. Alcee Hastings,D,FL-20,@RepHastingsFL,RepHastingsFL,2433737761,22253,,,,,
representative,Rep. Lois Frankel,D,FL-21,@RepLoisFrankel,RepLoisFrankel,1077121945,24108,,,,,
representative,Rep. Theodore Deutch,D,FL-22,@RepTedDeutch,RepTedDeutch,137794015,55205,,,,,
representative,Rep. Debbie Wasserman Schultz,D,FL-23,@RepDWStweets,RepDWStweets,1140648348,12655,,,,,
representative,Rep. Frederica Wilson,D,FL-24,@RepWilson,RepWilson,234014087,65121,,,,,
representative,Rep. Mario Diaz-Balart,R,FL-25,@MarioDB,MarioDB,37094727,38372,,,,,
representative,Rep. Carlos Curbelo,R,FL-26,@RepCurbelo,RepCurbelo,2853309155,19030,,,,,
representative,Rep. Ileana Ros-Lehtinen,R,FL-27,@RosLehtinen,RosLehtinen,14275291,131971,,,,,
representative,Rep. Buddy Carter,R,GA-1,@RepBuddyCarter,RepBuddyCarter,2973870195,13044,,,,,
representative,Rep. Sanford Bishop,D,GA-2,@SanfordBishop,SanfordBishop,249410485,17611,,,,,
representative,Rep. Drew Ferguson,R,GA-3,@RepDrewFerguson,RepDrewFerguson,8.06584E+17,4342,,,,,
representative,Rep. Henry Johnson,D,GA-4,@RepHankJohnson,RepHankJohnson,24745957,30756,,,,,
representative,Rep. John Lewis,D,GA-5,@RepJohnLewis,repjohnlewis,29450962,975500,,,,,
representative,Rep. Karen Handel,R,GA-6,@karenhandel,karenhandel,15673703,18206,,,,,
representative,Rep. Rob Woodall,R,GA-7,@RepRobWoodall,RepRobWoodall,2382685057,10727,,,,,
representative,Rep. Austin Scott,R,GA-8,@AustinScottGA08,AustinScottGA08,234797704,18122,,,,,
representative,Rep. Doug Collins,R,GA-9,@RepDougCollins,RepDougCollins,1060487274,17017,,,,,
representative,Rep. Jody Hice,R,GA-10,@congressmanhice,CongressmanHice,2975091705,16573,,,,,
representative,Rep. Barry Loudermilk,R,GA-11,@RepLoudermilk,RepLoudermilk,2914163523,13164,,,,,
representative,Rep. Rick Allen,R,GA-12,@reprickallen,RepRickAllen,2964287128,13401,,,,,
representative,Rep. David Scott,D,GA-13,@RepDavidScott,repdavidscott,168673083,18130,,,,,
representative,Rep. Tom Graves,R,GA-14,@RepTomGraves,RepTomGraves,190328374,18255,,,,,
representative,Rep. Colleen Hanabusa,D,HI-1,@housedemocrats,HouseDemocrats,43963249,697315,,,,,
representative,Rep. Tulsi Gabbard,D,HI-2,@TulsiPress,TulsiPress,1064206014,97610,,,,,
representative,Rep. Rod Blum,R,IA-1,@RepRodBlum,RepRodBlum,2965083477,12263,,,,,
representative,Rep. David Loebsack,D,IA-2,@DaveLoebsack,daveloebsack,510516465,7728,,,,,
representative,Rep. David Young,R,IA-3,@RepDavidYoung,RepDavidYoung,314205957,12939,,,,,
representative,Rep. Steve King,R,IA-4,@SteveKingIA,SteveKingIA,48117116,97931,,,,,
representative,Rep. Raul Labrador,R,ID-1,@Raul_Labrador,Raul_Labrador,246341769,22552,,,,,
representative,Rep. Michael Simpson,R,ID-2,@CongMikeSimpson,CongMikeSimpson,76132891,14564,,,,,
representative,Rep. Bobby Rush,D,IL-1,@RepBobbyRush,RepBobbyRush,305216911,15037,,,,,
representative,Rep. Robin Kelly,D,IL-2,@RepRobinKelly,RepRobinKelly,1339931490,22854,,,,,
representative,Rep. Daniel Lipinski,D,IL-3,@RepLipinski,RepLipinski,1009269193,12094,,,,,
representative,Rep. Luis Gutierrez,D,IL-4,@LuisGutierrez,LuisGutierrez,322013313,2528,,,,,
representative,Rep. Mike Quigley,D,IL-5,@RepMikeQuigley,RepMikeQuigley,56864092,38387,,,,,
representative,Rep. Peter Roskam,R,IL-6,@PeterRoskam,PeterRoskam,20015903,29136,,,,,
representative,Rep. Danny Davis,D,IL-7,@RepDannyDavis,RepDannyDavis,789244177,10501,,,,,
representative,Rep. Raja Krishnamoorthi,D,IL-8,@congressmanraja,CongressmanRaja,8.14179E+17,11985,,,,,
representative,Rep. Janice Schakowsky,D,IL-9,@JanSchakowsky,janschakowsky,24195214,36977,,,,,
representative,Rep. Bradley Schneider,D,IL-10,@repschneider,RepSchneider,1071840474,7909,,,,,
representative,Rep. Bill Foster,D,IL-11,@RepBillFoster,RepBillFoster,1080509366,42659,,,,,
representative,Rep. Mike Bost,R,IL-12,@RepBost,RepBost,2964877294,8526,,,,,
representative,Rep. Rodney Davis,R,IL-13,@RodneyDavis,RodneyDavis,993153006,18167,,,,,
representative,Rep. Randy Hultgren,R,IL-14,@RepHultgren,RepHultgren,237814920,20027,,,,,
representative,Rep. John Shimkus,R,IL-15,@RepShimkus,RepShimkus,15600527,28165,,,,,
representative,Rep. Adam Kinzinger,R,IL-16,@RepKinzinger,RepKinzinger,219429281,41193,,,,,
representative,Rep. Cheri Bustos,D,IL-17,@RepCheri,RepCheri,1092979962,28818,,,,,
representative,Rep. Darin LaHood,R,IL-18,@RepLaHood,RepLaHood,3686482216,10144,,,,,
representative,Rep. Peter Visclosky,D,IN-1,@RepVisclosky,RepVisclosky,193872188,12666,,,,,
representative,Rep. Jackie Walorski,R,IN-2,@RepWalorski,RepWalorski,1065995022,15757,,,,,
representative,Rep. Jim Banks,R,IN-3,@RepJimBanks,RepJimBanks,8.16131E+17,6488,,,,,
representative,Rep. Todd Rokita,R,IN-4,@ToddRokita,ToddRokita,17544524,22652,,,,,
representative,Rep. Susan Brooks,R,IN-5,@SusanWBrooks,SusanWBrooks,1074101017,18609,,,,,
representative,Rep. Luke Messer,R,IN-6,@RepLukeMesser,RepLukeMesser,1045853744,15475,,,,,
representative,Rep. Andre Carson,D,IN-7,@RepAndreCarson,RepAndreCarson,199325935,34806,,,,,
representative,Rep. Larry Bucshon,R,IN-8,@RepLarryBucshon,RepLarryBucshon,234812598,18637,,,,,
representative,Rep. Trey Hollingsworth,R,IN-9,@reptrey,RepTrey,8.11986E+17,7038,,,,,
representative,Rep. Roger Marshall,R,KS-1,@RogerMarshallMD,RogerMarshallMD,1240107944,3994,,,,,
representative,Rep. Lynn Jenkins,R,KS-2,@RepLynnJenkins,RepLynnJenkins,19658173,23398,,,,,
representative,Rep. Kevin Yoder,R,KS-3,@RepKevinYoder,RepKevinYoder,252819642,32463,,,,,
representative,Rep. Mike Pompeo,R,KS-4,@RepMPompeo,RepMPompeo,9.69259E+17,4157,,,,,
representative,Rep. James Comer,R,KY-1,@housegop,HouseGOP,15207668,591876,,,,,
representative,Rep. Brett Guthrie,R,KY-2,@RepGuthrie,RepGuthrie,1908143071,14631,,,,,
representative,Rep. John Yarmuth,D,KY-3,@RepJohnYarmuth,RepJohnYarmuth,384913290,33955,,,,,
representative,Rep. Thomas Massie,R,KY-4,@RepThomasMassie,RepThomasMassie,975200486,48257,,,,,
representative,Rep. Harold Rogers,R,KY-5,@RepHalRogers,RepHalRogers,550401754,14852,,,,,
representative,Rep. Garland Barr,R,KY-6,@RepAndyBarr,RepAndyBarr,1089334250,17719,,,,,
representative,Rep. Steve Scalise,R,LA-1,@SteveScalise,SteveScalise,1209417007,267259,,,,,
representative,Rep. Cedric Richmond,D,LA-2,@RepRichmond,RepRichmond,267854863,26264,,,,,
